Time, C12_R_ch1, C12_R_ch2, P12_W_ch1, P12_W_ch2
95.1582, 50, 55, 50, 55
95.4958, 50, 55, 50, 55
95.7044, 50, 55, 42, 55
95.7624, 42, 55, 42, 55
95.8069, 42, 55, 42, 55
95.8364, 42, 79, 42, 55
95.9069, 42, 79, 42, 79
96.2666, 42, 79, 42, 79
96.2739, 93, 79, 42, 79
96.2740, 93, 79, 93, 79
96.4224, 93, 79, 93, 79
96.4516, 93, 5, 93, 79
96.5641, 93, 5, 93, 5
97.5236, 93, 5, 93, 5
97.6907, 93, 5, 67, 5
97.7336, 67, 5, 67, 5
97.8225, 67, 5, 67, 5
97.8861, 67, 5, 67, 4
97.9291, 67, 4, 67, 4
98.2716, 67, 4, 67, 4
98.3232, 67, 4, 61, 4
98.3478, 61, 4, 61, 4
98.3764, 61, 4, 61, 4
98.4087, 61, 4, 61, 54
98.4210, 61, 54, 61, 54
98.7767, 61, 54, 61, 54
99.0322, 61, 54, 59, 54
99.0662, 59, 54, 59, 54
99.0936, 59, 54, 59, 54
99.1298, 59, 54, 59, 44
99.1325, 59, 44, 59, 44
99.4526, 59, 44, 59, 44
99.6594, 59, 44, 2, 44
99.6760, 2, 44, 2, 44
99.7634, 2, 44, 2, 44
99.8384, 2, 44, 2, 6
99.8704, 2, 6, 2, 6
100.1274, 2, 6, 2, 6
100.3246, 2, 6, 21, 6
100.3601, 21, 6, 21, 6
100.4359, 21, 6, 21, 6
100.4675, 21, 42, 21, 6
100.6220, 21, 42, 21, 42
100.7135, 21, 42, 21, 42
100.9031, 21, 42, 28, 42
100.9325, 28, 42, 28, 42
101.0067, 28, 42, 28, 42
101.0882, 28, 42, 28, 89
101.1201, 28, 89, 28, 89
101.5634, 28, 89, 28, 89
101.7566, 28, 89, 8, 89
101.7737, 8, 89, 8, 89
101.8811, 8, 89, 8, 89
101.9418, 8, 89, 8, 58
101.9883, 8, 58, 8, 58
102.2733, 8, 58, 8, 58
102.4413, 8, 58, 36, 58
