Time, C12_R_ch1, C12_R_ch2, C122_R_ch12, C122_R_ch22, P12_W_ch1, P12_W_ch2, P122_W_ch12, P122_W_ch22
35.2298, 55, 4, 97, 7, 55, 54, 97, 7
35.4757, 55, 4, 97, 7, 55, 4, 97, 7
35.6374, 55, 4, 97, 7, 55, 4, 97, 7
35.7566, 55, 4, 97, 7, 55, 4, 97, 7
35.8407, 55, 4, 97, 7, 28, 4, 97, 7
35.9293, 55, 4, 97, 7, 28, 4, 43, 7
35.9493, 55, 4, 43, 7, 28, 4, 43, 7
36.0855, 28, 4, 43, 7, 28, 4, 43, 7
36.1011, 28, 4, 43, 7, 28, 4, 43, 7
36.1117, 28, 4, 43, 7, 28, 4, 43, 7
36.1200, 28, 99, 43, 7, 28, 4, 43, 7
36.1299, 28, 99, 43, 46, 28, 4, 43, 7
36.2477, 28, 99, 43, 46, 28, 99, 43, 7
36.3118, 28, 99, 43, 46, 28, 99, 43, 46
36.5763, 28, 99, 43, 46, 28, 99, 43, 46
36.7123, 28, 99, 43, 46, 28, 99, 43, 46
36.8392, 28, 99, 43, 46, 11, 99, 43, 46
36.8730, 11, 99, 43, 46, 11, 99, 43, 46
37.0333, 11, 99, 43, 46, 11, 99, 5, 46
37.0719, 11, 99, 5, 46, 11, 99, 5, 46
37.0996, 11, 99, 5, 46, 11, 99, 5, 46
37.1255, 11, 10, 5, 46, 11, 99, 5, 46
37.1678, 11, 10, 5, 46, 11, 10, 5, 46
37.2085, 11, 10, 5, 46, 11, 10, 5, 46
37.2572, 11, 10, 5, 1, 11, 10, 5, 46
37.2856, 11, 10, 5, 1, 11, 10, 5, 1
37.5534, 11, 10, 5, 1, 11, 10, 5, 1
37.6158, 11, 10, 5, 1, 5, 10, 5, 1
37.6159, 11, 10, 5, 1, 5, 10, 5, 1
37.9526, 5, 10, 5, 1, 5, 10, 5, 1
37.9820, 5, 10, 5, 1, 5, 10, 5, 1
37.9916, 5, 20, 5, 1, 5, 10, 5, 1
38.0525, 5, 20, 5, 1, 5, 10, 36, 1
38.0553, 5, 20, 5, 1, 5, 20, 36, 1
38.2026, 5, 20, 36, 1, 5, 20, 36, 1
38.2607, 5, 20, 36, 1, 5, 20, 36, 1
38.2846, 5, 20, 36, 44, 5, 20, 36, 1
38.4421, 5, 20, 36, 44, 5, 20, 36, 44
38.7195, 5, 20, 36, 44, 5, 20, 36, 44
38.8130, 5, 20, 36, 44, 5, 20, 36, 44
38.8874, 5, 20, 36, 44, 5, 20, 82, 44
38.8888, 5, 20, 36, 44, 8, 20, 82, 44
38.9510, 5, 20, 82, 44, 8, 20, 82, 44
39.0750, 8, 20, 82, 44, 8, 20, 82, 44
39.0808, 8, 20, 82, 44, 8, 20, 82, 44
39.0904, 8, 20, 82, 58, 8, 20, 82, 44
39.2690, 8, 20, 82, 58, 8, 20, 82, 44
39.2796, 8, 16, 82, 58, 8, 20, 82, 44
39.2900, 8, 16, 82, 58, 8, 20, 82, 58
39.3702, 8, 16, 82, 58, 8, 16, 82, 58
39.6293, 8, 16, 82, 58, 8, 16, 82, 58
39.6578, 8, 16, 82, 58, 8, 16, 82, 58
39.6578, 24, 16, 82, 58, 8, 16, 82, 58
39.7416, 24, 16, 82, 58, 24, 16, 82, 58
39.8519, 24, 16, 82, 58, 24, 16, 36, 58
39.8700, 24, 16, 82, 58, 24, 16, 36, 58
39.9263, 24, 16, 82, 58, 24, 0, 36, 58
39.9827, 24, 16, 36, 58, 24, 0, 36, 58
40.0232, 24, 0, 36, 58, 24, 0, 36, 58
40.5478, 24, 0, 36, 58, 24, 0, 36, 58
40.5564, 24, 0, 36, 52, 24, 0, 36, 58
40.7330, 24, 0, 36, 52, 24, 0, 36, 52
41.6461, 24, 0, 36, 52, 24, 0, 36, 52
